"Reference","Qty","Value","Value2","Note","Description","Datasheet","Manufacturer","ManufacturerPartNum","Distributor","DistributorPartNum","DistributorPartLink","Distributor2","DistributorPartNum2","DistributorPartLink2","Distributor3","DistributorPartNum3","DistributorPartLink3"
"Q1 Q2 Q3 Q4","4","2N3904","","","Small Signal NPN Transistor, 0.2A Ic, 40V Vce, TO-92","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Central Semiconductor","2N3904 PBFREE","Mouser","610-2N3904","https://www.mouser.ca/ProductDetail/Central-Semiconductor/2N3904-PBFREE?qs=u16ybLDytRZopNVvg2vJjA%3D%3D","","","","","",""
"R1 R21","2","300K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-300K","Mouser","603-MFR-12FTF52-300K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-300K?qs=oAGoVhmvjhxCRCahlqQtCA%3D%3D","","","","","",""
"R2 R7 R20 R22 R27 R40","6","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-100K","Mouser","603-MFR-12FTF52-100K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-100K?qs=oAGoVhmvjhxn7uX6J9%2FOug%3D%3D","","","","","",""
"R3 R23","2","4M7","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-4M7","Mouser","603-MFR-12FTF52-4M7","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-4M7?qs=oAGoVhmvjhy9t6uwRLL13w%3D%3D","","","","","",""
"R4 R24","2","200K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-200K","Mouser","603-MFR-12FTF52-200K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-200K?qs=oAGoVhmvjhzyXGTT6oqbfw%3D%3D","","","","","",""
"R5 R25","2","11K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-11K","Mouser","603-MFR-12FTF52-11K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-11K?qs=oAGoVhmvjhx1sOCa0IR7aA%3D%3D","","","","","",""
"R6 R9 R12 R26 R29 R32","6","10K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-10K","Mouser","603-MFR-12FTF52-10K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-10K?qs=oAGoVhmvjhzLlUYKKBtdYQ%3D%3D","","","","","",""
"R8 R28","2","2K2","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-2K2","Mouser","603-MFR-12FTF52-2K2","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-2K2?qs=oAGoVhmvjhyDYjSfkwEmQQ%3D%3D","","","","","",""
"R10 R30 R41 R43","4","220R","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-220R","Mouser","603-MFR-12FTF52-220R","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-220R?qs=oAGoVhmvjhzXw9VFfgOBPg%3D%3D","","","","","",""
"R11 R31","2","68K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-68K","Mouser","603-MFR-12FTF52-68K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-68K?qs=oAGoVhmvjhyL5MsnBkXRfA%3D%3D","","","","","",""
"R13 R33","2","470R","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-470R","Mouser","603-MFR-12FTF52-470R","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-470R?qs=oAGoVhmvjhzwbENn17GKHQ%3D%3D","","","","","",""
"R14 R15 R19 R34 R35 R39","6","36K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-36K","Mouser","603-MFR-12FTF52-36K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-36K?qs=oAGoVhmvjhyIq6EO5blb%252BQ%3D%3D","","","","","",""
"R16 R36","2","51R","1%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D","","","","","",""
"R17 R18 R37 R38","4","220K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-220K","Mouser","603-MFR-12FTF52-220K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-220K?qs=oAGoVhmvjhzRYglFF6%2Fz8A%3D%3D","","","","","",""
"R42 R44","2","1K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-1K","Mouser","603-MFR-12FTF52-1K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-1K?qs=oAGoVhmvjhziakooNB4n2Q%3D%3D","","","","","",""
"RV1 RV2","2","25K","","","Trim-potentiometer","https://www.mouser.ca/datasheet/2/54/pv36-907345.pdf","Bourns","PV36W253C01B00","Mouser","81-PV36W253C01B00","https://www.mouser.ca/ProductDetail/Bourns/PV36W253C01B00?qs=iLpuOiyXdNEZfHLQPbI%252BMg%3D%3D","","","","","",""
"RV3 RV4","2","100K","LOG","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
