Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"J5","1","Conn_01x11","Conn_Front_Left_Top","","","Generic connector, single row, 01x11, script generated (kicad-library-utils/schlib/autogen/connector/)","https://www.mouser.ca/datasheet/2/527/ssq_th-2854703.pdf","Samtec","SSQ-111-01-T-S","Mouser","200-SSQ11101TS","https://www.mouser.ca/ProductDetail/Samtec/SSQ-111-01-T-S?qs=rU5fayqh%252BE1e%252BKEgpVjkhw%3D%3D","Adafruit","598","https://www.adafruit.com/product/598","","",""
"J6","1","Conn_01x11","Conn_Back_Right_Top","","","Generic connector, single row, 01x11, script generated (kicad-library-utils/schlib/autogen/connector/)","https://www.mouser.ca/datasheet/2/18/1/bwb_bergstik-2584943.pdf","Amphenol FCI","68001-411HLF","Mouser","649-68001-411HLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/68001-411HLF?qs=QKvFUfBIyQKHriUD8EH6DA%3D%3D","Adafruit","392","https://www.adafruit.com/product/392","","",""
"J7","1","Conn_01x08","Conn_Front_Right","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","https://www.mouser.ca/datasheet/2/595/Gravitech_8Fx1_254mm-2854107.pdf","Gravitech","8Fx1-254mm","Mouser","992-8FX1-254MM","https://www.mouser.ca/ProductDetail/Gravitech/8Fx1-254mm?qs=Vxac6xGyzPk0zR%2F1vGr2Gg%3D%3D","","","","","",""
"J8","1","Conn_01x08","Conn_Back_Left","","","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","https://www.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","Amphenol FCI","10129378-908001BLF","Mouser","649-1012937890801BLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/10129378-908001BLF?qs=0lQeLiL1qybDtVkZc9V5DA%3D%3D","","","","","",""
"J9","1","Conn_Eurorack_Pwr_16","Conn_Eurorack_16","","","Eurorack 16-pin board power/CV/gate bus connector","https://www.mouser.ca/datasheet/2/445/61201621621-1717735.pdf","Wurth Elektronik","61201621621","Mouser","710-61201621621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201621621?qs=ZtY9WdtwX55qFf4n3EFuaA%3D%3D","","","","","",""
"J10","1","Conn_FTDI","FTDI","","","Pin header for FTDI USB-serial cable","https://www.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","Amphenol FCI","10129378-906001BLF","Mouser","649-1012937890601BLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/10129378-906001BLF?qs=sGAEpiMZZMv0NwlthflBi8A1zHyP7BBjXH8jOU2Fj9A%3D","","","","","",""
"JP1","1","Jumper_Pins_3_Bridged12","GATE-BUS","","","Jumper pins, 3-pole, pins 1+2 closed/bridged","","Amphenol FCI","10129378-903001BLF","Mouser","649-1012937890301BLF","https://www.mouser.ca/ProductDetail/?qs=0lQeLiL1qybuYTJnitumiA%3D%3D","","","","","",""
"R3 R4","2","R_51R_Output","270R","5%, 1/4 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-270R","Mouser","603-MFR-12FTF52-270R","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-270R?qs=%2Fha2pyFaduik%252B931GUVuOrUGxPzKWFgd0rjHVR0MqtHFBXRhSM7N2g%3D%3D","","","","","",""
"R5","1","R","10K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FRF52-10K","Mouser","603-MFR-12FRF5210K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FRF52-10K?qs=sGAEpiMZZMsPqMdJzcrNwl7IR%2FWPk8YP7c4XT%2Fr88hQ%3D","","","","","",""
"R8 R9","2","R","24K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-30K","Mouser","603-MFR-12FTF52-30K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-30K?qs=oAGoVhmvjhx41C7LP55%2FiQ%3D%3D","","","","","",""
