Title,Rev,Date,By,File
"FX Module Prototype","1.0","2022-08-26","Len Popp","FX-proto.kicad_sch",
Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"R3","1","20K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R4 R5","2","10K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R6 R7","2","2K2","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R8","1","50K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R10","1","120K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R12","1","51R","1%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D","","","","","",""
"RV1 RV2 RV3 RV4","4","50K","","","Potentiometer","http://www.song-huei.com/proimages//eng/pdfimages/R0904N.pdf","Song Huei","R0904N*","SynthCube","SH9MMTPOTMSTR","https://synthcube.com/cart/9mm-trimmer-pots","Thonk","Group_SongHuei_TTP","https://www.thonk.co.uk/shop/ttpots/","","",""
"RV5","1","100K","","","Potentiometer","http://www.song-huei.com/proimages//eng/pdfimages/R0904N.pdf","Song Huei","R0904N*","SynthCube","SH9MMTPOTMSTR","https://synthcube.com/cart/9mm-trimmer-pots","Thonk","Group_SongHuei_TTP","https://www.thonk.co.uk/shop/ttpots/","","",""
"SW1","1","SW_LED","","","Push button switch with single LED, C&K D6R series","https://www.mouser.ca/datasheet/2/60/d6-1382571.pdf","C&K","D6RLBUF1 LFS","Mouser","611-D6RLBUF1LFS","https://www.mouser.co.uk/ProductDetail/CK/D6RLBUF1-LFS?qs=zW32dvEIR3uFcmnP%2FjXwsQ%3D%3D","","","","","",""
"U1","1","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
"U2","1","L7808","","","Positive 1.5A 35V Linear Regulator, Fixed Output 8V, TO-220/TO-263/TO-252","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","",""
